# (Kp, Ki, Kd, alpha) = (0.7, 0.11666666666666667, 1.0, 0)
#  Sacamos el alpha, barremos sólo el Ki
#  tiempo, setpoint, pwm, error
5.849452257156372070e+00,3.000000000000000000e+02,1.224055291018728298e+02,1.900000000000000000e+02
5.912931680679321289e+00,3.000000000000000000e+02,1.495598032008819587e+02,1.840000000000000000e+02
5.976901054382324219e+00,3.000000000000000000e+02,1.310722226063844005e+02,1.770000000000000000e+02
6.041500091552734375e+00,3.000000000000000000e+02,1.447076970155941353e+02,1.710000000000000000e+02
6.105532884597778320e+00,3.000000000000000000e+02,1.572434501498491386e+02,1.660000000000000000e+02
6.169468164443969727e+00,3.000000000000000000e+02,1.221287218241046446e+02,1.590000000000000000e+02
6.233435630798339844e+00,3.000000000000000000e+02,1.347585778481596321e+02,1.530000000000000000e+02
6.297540426254272461e+00,3.000000000000000000e+02,1.481658499448158750e+02,1.480000000000000000e+02
6.360974550247192383e+00,3.000000000000000000e+02,1.448994988404459718e+02,1.430000000000000000e+02
6.425513744354248047e+00,3.000000000000000000e+02,1.275862154393156942e+02,1.370000000000000000e+02
6.522017478942871094e+00,3.000000000000000000e+02,1.667276701508639292e+02,1.320000000000000000e+02
6.585756540298461914e+00,3.000000000000000000e+02,1.375387043252326293e+02,1.270000000000000000e+02
6.649832487106323242e+00,3.000000000000000000e+02,1.190491940833039877e+02,1.210000000000000000e+02
6.712919235229492188e+00,3.000000000000000000e+02,1.473444518134772352e+02,1.170000000000000000e+02
6.776914596557617188e+00,3.000000000000000000e+02,1.462883517478611850e+02,1.130000000000000000e+02
6.840937137603759766e+00,3.000000000000000000e+02,1.280020722840612279e+02,1.080000000000000000e+02
6.905773639678955078e+00,3.000000000000000000e+02,1.262616311686501689e+02,1.030000000000000000e+02
6.968940734863281250e+00,3.000000000000000000e+02,1.379841559562045177e+02,9.900000000000000000e+01
7.033262014389038086e+00,3.000000000000000000e+02,1.532877997474491565e+02,9.600000000000000000e+01
7.097619295120239258e+00,3.000000000000000000e+02,1.356664011063236046e+02,9.200000000000000000e+01
7.161238431930541992e+00,3.000000000000000000e+02,1.327984242274543476e+02,8.800000000000000000e+01
7.225688219070434570e+00,3.000000000000000000e+02,1.314403753066562786e+02,8.400000000000000000e+01
7.321234464645385742e+00,3.000000000000000000e+02,1.385541334131418694e+02,7.900000000000000000e+01
7.386107921600341797e+00,3.000000000000000000e+02,1.592383436283946878e+02,7.700000000000000000e+01
7.449470520019531250e+00,3.000000000000000000e+02,1.411680805618913723e+02,7.400000000000000000e+01
7.513346910476684570e+00,3.000000000000000000e+02,1.236153348589946859e+02,7.000000000000000000e+01
7.577392339706420898e+00,3.000000000000000000e+02,1.377951524299547827e+02,6.700000000000000000e+01
7.641426086425781250e+00,3.000000000000000000e+02,1.361647251215726158e+02,6.400000000000000000e+01
7.705433130264282227e+00,3.000000000000000000e+02,1.345006966012124678e+02,6.100000000000000000e+01
7.768952369689941406e+00,3.000000000000000000e+02,1.653719112293652529e+02,6.000000000000000000e+01
7.833287477493286133e+00,3.000000000000000000e+02,1.003099261248552807e+02,5.500000000000000000e+01
7.896953344345092773e+00,3.000000000000000000e+02,1.456076497968971353e+02,5.300000000000000000e+01
7.961295604705810547e+00,3.000000000000000000e+02,1.449207237982101901e+02,5.100000000000000000e+01
8.025555133819580078e+00,3.000000000000000000e+02,1.275786639065109540e+02,4.800000000000000000e+01
8.121271371841430664e+00,3.000000000000000000e+02,1.636416427597916368e+02,4.700000000000000000e+01
8.185544490814208984e+00,3.000000000000000000e+02,1.419094169121582922e+02,4.500000000000000000e+01
8.249702930450439453e+00,3.000000000000000000e+02,1.407756582877556752e+02,4.300000000000000000e+01
8.313362121582031250e+00,3.000000000000000000e+02,1.394356878798085404e+02,4.100000000000000000e+01
8.377725124359130859e+00,3.000000000000000000e+02,1.549164739366431718e+02,4.000000000000000000e+01
8.441461324691772461e+00,3.000000000000000000e+02,1.379565723043721732e+02,3.800000000000000000e+01
8.505478858947753906e+00,3.000000000000000000e+02,1.532915358726828003e+02,3.700000000000000000e+01
8.569194316864013672e+00,3.000000000000000000e+02,1.363828706434283333e+02,3.500000000000000000e+01
8.633489131927490234e+00,3.000000000000000000e+02,1.355132553046116755e+02,3.300000000000000000e+01
8.697036027908325195e+00,3.000000000000000000e+02,1.504207946047594930e+02,3.200000000000000000e+01
8.761184453964233398e+00,3.000000000000000000e+02,1.501003609169612218e+02,3.100000000000000000e+01
8.825236797332763672e+00,3.000000000000000000e+02,1.332814557590232027e+02,2.900000000000000000e+01
8.921007633209228516e+00,3.000000000000000000e+02,1.536771776913902556e+02,2.800000000000000000e+01
8.985560894012451172e+00,3.000000000000000000e+02,9.953518199346734718e+01,2.400000000000000000e+01
